frame_index,timestamp_s,source_video,frame_path,blur_score,exposure_score,redundancy_score,composite_score,selected_automatically,override,selected
340,11.3288,video_20260825_154043.mp4,preprocessing/candidates/frame_000340.jpg,0.140841,0.736656,0.774277,0.509616,True,NONE,True
344,11.462078,video_20260825_154043.mp4,preprocessing/candidates/frame_000344.jpg,0.149913,0.741661,0.87183,0.544013,True,NONE,True
348,11.595356,video_20260825_154043.mp4,preprocessing/candidates/frame_000348.jpg,0.456416,0.741527,0.940022,0.687031,True,NONE,True
352,11.728644,video_20260825_154043.mp4,preprocessing/candidates/frame_000352.jpg,0.258508,0.750491,0.919722,0.604467,True,NONE,True
356,11.861922,video_20260825_154043.mp4,preprocessing/candidates/frame_000356.jpg,0.558807,0.757843,0.83239,0.700593,True,NONE,True
360,11.9952,video_20260825_154043.mp4,preprocessing/candidates/frame_000360.jpg,0.432172,0.761753,0.755806,0.628136,True,NONE,True
364,12.128478,video_20260825_154043.mp4,preprocessing/candidates/frame_000364.jpg,0.169579,0.754566,0.841725,0.546719,True,NONE,True
368,12.261756,video_20260825_154043.mp4,preprocessing/candidates/frame_000368.jpg,0.68778,0.757185,0.937516,0.783522,True,NONE,True
372,12.395044,video_20260825_154043.mp4,preprocessing/candidates/frame_000372.jpg,0.369894,0.763291,0.902291,0.647632,True,NONE,True
376,12.528322,video_20260825_154043.mp4,preprocessing/candidates/frame_000376.jpg,0.894171,0.7671,0.947119,0.871934,True,NONE,True
380,12.6616,video_20260825_154043.mp4,preprocessing/candidates/frame_000380.jpg,1.0,0.7648,1.0,0.92944,True,NONE,True
384,12.8282,video_20260825_154043.mp4,preprocessing/candidates/frame_000384.jpg,0.176437,0.768784,0.913491,0.575257,True,NONE,True
388,12.9948,video_20260825_154043.mp4,preprocessing/candidates/frame_000388.jpg,0.343461,0.773895,0.867321,0.629749,True,NONE,True
392,13.128078,video_20260825_154043.mp4,preprocessing/candidates/frame_000392.jpg,0.244861,0.77223,0.775467,0.562254,True,NONE,True
396,13.261356,video_20260825_154043.mp4,preprocessing/candidates/frame_000396.jpg,0.500772,0.769229,0.733462,0.651116,True,NONE,True
400,13.394644,video_20260825_154043.mp4,preprocessing/candidates/frame_000400.jpg,0.19046,0.782242,0.855579,0.56753,True,NONE,True
404,13.527922,video_20260825_154043.mp4,preprocessing/candidates/frame_000404.jpg,0.192688,0.779255,0.909303,0.583643,True,NONE,True
408,13.6612,video_20260825_154043.mp4,preprocessing/candidates/frame_000408.jpg,0.165067,0.780387,0.793868,0.538303,True,NONE,True
412,13.794478,video_20260825_154043.mp4,preprocessing/candidates/frame_000412.jpg,0.333942,0.761548,0.641989,0.554638,True,NONE,True
416,13.927756,video_20260825_154043.mp4,preprocessing/candidates/frame_000416.jpg,0.543603,0.762118,0.489462,0.592915,True,NONE,True
420,14.061044,video_20260825_154043.mp4,preprocessing/candidates/frame_000420.jpg,0.314762,0.76398,0.451553,0.490565,True,NONE,True
424,14.194322,video_20260825_154043.mp4,preprocessing/candidates/frame_000424.jpg,0.305307,0.762588,0.674887,0.553365,True,NONE,True
428,14.3276,video_20260825_154043.mp4,preprocessing/candidates/frame_000428.jpg,0.209594,0.761944,0.777688,0.545727,True,NONE,True
432,14.460878,video_20260825_154043.mp4,preprocessing/candidates/frame_000432.jpg,0.262852,0.766183,0.67282,0.536842,True,NONE,True
436,14.594156,video_20260825_154043.mp4,preprocessing/candidates/frame_000436.jpg,0.074125,0.77288,0.720749,0.477738,True,NONE,True
440,14.727444,video_20260825_154043.mp4,preprocessing/candidates/frame_000440.jpg,0.825177,0.78097,0.827776,0.812695,True,NONE,True
444,14.860722,video_20260825_154043.mp4,preprocessing/candidates/frame_000444.jpg,0.717455,0.779111,0.832265,0.770395,True,NONE,True
448,14.994,video_20260825_154043.mp4,preprocessing/candidates/frame_000448.jpg,0.537803,0.774982,0.78692,0.683692,True,NONE,True
452,15.127278,video_20260825_154043.mp4,preprocessing/candidates/frame_000452.jpg,0.551643,0.775228,0.615898,0.637995,True,NONE,True
456,15.260556,video_20260825_154043.mp4,preprocessing/candidates/frame_000456.jpg,0.719918,0.775506,0.599955,0.700606,True,NONE,True
460,15.393844,video_20260825_154043.mp4,preprocessing/candidates/frame_000460.jpg,0.463527,0.775978,0.752508,0.643957,True,NONE,True
464,15.527122,video_20260825_154043.mp4,preprocessing/candidates/frame_000464.jpg,0.563071,0.775313,0.817278,0.703006,True,NONE,True
468,15.6604,video_20260825_154043.mp4,preprocessing/candidates/frame_000468.jpg,0.454064,0.776259,0.808089,0.65693,True,NONE,True
472,15.793678,video_20260825_154043.mp4,preprocessing/candidates/frame_000472.jpg,0.836658,0.775307,0.71739,0.782472,True,NONE,True
476,15.926956,video_20260825_154043.mp4,preprocessing/candidates/frame_000476.jpg,0.660279,0.774863,0.716872,0.711632,True,NONE,True
480,16.060244,video_20260825_154043.mp4,preprocessing/candidates/frame_000480.jpg,0.696103,0.772144,0.775458,0.742722,True,NONE,True
